77,100
77,78
80,81
82,62
79,74
77,91
83,79
80,79
80,91
77,70
81,79
82,86
77,93
83,83
75,83
83,82
76,78
75,66
79,59
81,84
74,84
79,54
81,81
81,67
90,91
86,88
84,74
81,91
83,83
74,75
85,82
78,81
83,83
82,89
80,80
81,64
85,73
83,76
77,76
81,78
80,94
84,76
78,86
81,93
81,68
80,73
84,79
76,82
80,74
76,80
77,86
81,84
80,84
83,87
81,70
86,79
85,80
74,91
78,85
78,89
83,71
75,78
84,67
79,84
77,87
79,68
81,88
80,87
76,95
71,85
79,69
80,74
76,63
82,90
71,73
82,94
74,84
85,82
77,87
76,94
81,56
78,84
72,77
76,71
67,77
88,77
77,61
80,78
76,78
85,78
80,97
76,72
82,79
82,78
85,82
83,76
82,69
82,73
80,79
77,65
77,79
80,79
80,86
72,92
83,84
81,74
